product_name,revenue,qty_sold,cust_location,cows_number,farm_size,price_unit,shelf_life,storage,channel
Ice Cream,575.68,7,Madhya Pradesh,96,Medium,82.24,25,1,0
Milk,21895.92,558,Kerala,44,Large,39.24,22,0,0
Yogurt,8655.36,256,Madhya Pradesh,24,Medium,33.81,30,1,1
Cheese,17380.92,601,Rajasthan,89,Small,28.92,72,1,1
Buttermilk,12045.15,145,Jharkhand,21,Medium,83.07,11,1,0
Curd,6271.5,74,Gujarat,51,Medium,84.75,5,1,0
Cheese,13390.6,410,Karnataka,74,Small,32.66,83,1,1
Paneer,436.35,15,Haryana,77,Medium,29.09,14,1,1
Curd,21302.2,860,Jharkhand,76,Medium,24.77,6,1,0
Buttermilk,4984.2,108,Tamil Nadu,36,Large,46.15,9,1,0
Yogurt,1497.98,22,Kerala,82,Small,68.09,24,1,0
Lassi,30377.25,345,Karnataka,99,Small,88.05,14,1,1
Cheese,58.09,1,West Bengal,81,Large,58.09,69,1,0
Ice Cream,7545.6,80,Madhya Pradesh,39,Large,94.32,25,1,1
Ice Cream,60313.95,645,Karnataka,70,Medium,93.51,28,1,0
Milk,6760.82,778,Gujarat,71,Small,8.69,1,0,0
Ghee,23122.02,438,Tamil Nadu,95,Large,52.79,138,0,0
Curd,8172.9,270,Madhya Pradesh,88,Medium,30.27,6,1,1
Buttermilk,12591.75,309,West Bengal,25,Large,40.75,10,1,1
Milk,46694.88,486,Telangana,52,Medium,96.08,28,0,0
Paneer,2269.8,26,Chandigarh,24,Large,87.3,10,1,0
Cheese,876.06,62,Telangana,85,Small,14.13,43,1,1
Yogurt,15452.36,173,Tamil Nadu,41,Large,89.32,28,1,0
Cheese,55540.5,610,Rajasthan,79,Small,91.05,36,1,1
Curd,4200.35,55,Tamil Nadu,80,Small,76.37,5,1,1
Paneer,56361.5,845,Jharkhand,12,Large,66.7,8,1,0
Butter,4369.12,47,Maharashtra,27,Small,92.96,37,1,0
Butter,19072.38,246,Chandigarh,90,Small,77.53,36,1,0
Curd,25793.85,305,Maharashtra,45,Medium,84.57,6,1,0
Lassi,550.94,26,Tamil Nadu,87,Small,21.19,14,1,0
Paneer,45540.32,557,Madhya Pradesh,57,Large,81.76,7,1,0
Butter,5424.16,56,Rajasthan,41,Large,96.86,28,1,0
Paneer,6414.34,137,Madhya Pradesh,100,Medium,46.82,12,1,0
Ghee,3568.14,86,Delhi,97,Medium,41.49,136,0,0
Yogurt,9648.2,95,Karnataka,65,Small,101.56,22,1,0
Milk,25491.17,389,Telangana,25,Large,65.53,1,0,0
Ghee,9795.84,384,Kerala,81,Small,25.51,129,0,1
Lassi,7658.62,167,Gujarat,52,Large,45.86,17,1,0
Lassi,22089.32,671,Rajasthan,77,Large,32.92,12,1,0
Curd,2623.92,116,Kerala,79,Medium,22.62,6,1,0
Buttermilk,11358.8,292,Telangana,42,Medium,38.9,14,1,0
Lassi,9768.72,104,Bihar,42,Large,93.93,13,1,0
Lassi,63692.2,715,Haryana,88,Medium,89.08,13,1,0
Ice Cream,326.46,6,Gujarat,36,Large,54.41,24,1,0
Milk,12786.68,302,Delhi,98,Medium,42.34,2,0,0
Butter,261.84,3,Delhi,67,Medium,87.28,38,1,0
Paneer,1660.5,82,Delhi,21,Small,20.25,10,1,0
Milk,11051.32,406,Telangana,12,Medium,27.22,1,0,1
Lassi,41096.4,552,Haryana,37,Medium,74.45,16,1,0
Paneer,13773.34,262,Telangana,82,Large,52.57,9,1,0
Buttermilk,6065.82,141,Delhi,65,Medium,43.02,11,1,1
Ice Cream,19004.55,305,Rajasthan,53,Large,62.31,29,1,1
Buttermilk,4044.88,62,West Bengal,79,Large,65.24,13,1,0
Butter,2029.06,22,Uttar Pradesh,32,Medium,92.23,29,1,0
Paneer,170.84,2,Madhya Pradesh,76,Small,85.42,14,1,0
Cheese,31753.2,705,Chandigarh,12,Small,45.04,42,1,0
Lassi,14737.8,145,Kerala,98,Small,101.64,12,1,0
Curd,639.87,11,Gujarat,48,Medium,58.17,6,1,1
Ghee,66719.24,956,Tamil Nadu,19,Medium,69.79,137,0,0
Yogurt,2207.4,26,Maharashtra,19,Large,84.9,30,1,1
Ghee,60287.06,634,Chandigarh,20,Large,95.09,143,0,0
Yogurt,6136.4,290,Rajasthan,31,Small,21.16,28,1,1
Ice Cream,58276.08,696,Delhi,74,Small,83.73,26,1,0
Ghee,23998.24,392,Jharkhand,90,Large,61.22,147,0,0
Butter,25637.34,534,Chandigarh,94,Small,48.01,37,1,0
Milk,1491.52,16,Bihar,100,Medium,93.22,21,0,0
Yogurt,34168.98,834,Gujarat,58,Large,40.97,26,1,0
Lassi,7071.04,304,Uttar Pradesh,77,Large,23.26,14,1,1
Yogurt,9761.94,386,Telangana,22,Medium,25.29,25,1,1
Yogurt,592.83,9,Chandigarh,79,Medium,65.87,27,1,0
Ghee,20214.6,420,Madhya Pradesh,19,Medium,48.13,144,0,1
Milk,8266.78,103,Chandigarh,40,Large,80.26,1,0,0
Curd,3802.5,78,Bihar,38,Large,48.75,5,1,1
Buttermilk,1301.11,23,Madhya Pradesh,23,Small,56.57,11,1,1
Milk,6005.88,166,Rajasthan,35,Large,36.18,1,0,0
Curd,13215.3,203,Telangana,38,Small,65.1,5,1,0
Yogurt,1878.12,54,Madhya Pradesh,28,Medium,34.78,27,1,1
Milk,47569.06,869,Jharkhand,32,Medium,54.74,22,0,1
Buttermilk,1313.76,84,Jharkhand,24,Medium,15.64,12,1,1
Cheese,15111.0,150,Jharkhand,90,Large,100.74,29,1,0
Ice Cream,3552.12,36,Gujarat,41,Small,98.67,28,1,0
Butter,22573.89,279,Tamil Nadu,38,Small,80.91,40,1,0
Curd,6651.72,108,West Bengal,69,Large,61.59,6,1,0
Yogurt,30353.7,362,Uttar Pradesh,39,Large,83.85,27,1,0
Ghee,14003.2,320,Karnataka,54,Small,43.76,135,0,0
Milk,24021.86,499,Rajasthan,95,Medium,48.14,2,0,1
Cheese,13229.32,206,West Bengal,98,Medium,64.22,59,1,1
Yogurt,39871.3,490,Delhi,78,Large,81.37,28,1,0
Butter,158.94,18,Jharkhand,17,Medium,8.83,39,1,0
Ghee,5889.88,458,Rajasthan,30,Large,12.86,85,0,0
Buttermilk,11405.8,140,Uttar Pradesh,62,Medium,81.47,13,1,1
Paneer,9841.7,230,Gujarat,61,Small,42.79,11,1,0
Cheese,13857.0,465,West Bengal,55,Large,29.8,30,1,1
Curd,28689.78,581,Telangana,77,Small,49.38,7,1,0
Buttermilk,29885.0,556,Madhya Pradesh,89,Large,53.75,13,1,0
Milk,12360.29,163,Rajasthan,94,Large,75.83,29,0,0
Lassi,9167.85,135,Delhi,66,Medium,67.91,12,1,0
Milk,5412.36,159,Kerala,29,Large,34.04,28,0,0
Cheese,233.73,3,Rajasthan,88,Medium,77.91,44,1,1
Curd,4063.76,158,Jharkhand,66,Medium,25.72,7,1,0
Cheese,18265.4,674,Uttar Pradesh,48,Medium,27.1,82,1,1
Lassi,61783.53,597,Kerala,73,Large,103.49,16,1,0
Ghee,10703.36,296,Rajasthan,29,Medium,36.16,147,0,0
Butter,27094.02,281,Delhi,58,Medium,96.42,28,1,0
Milk,1350.0,50,West Bengal,14,Large,27.0,1,0,0
Yogurt,43265.76,552,Gujarat,46,Large,78.38,24,1,0
Yogurt,697.62,7,Chandigarh,43,Large,99.66,23,1,1
Milk,2889.6,129,Maharashtra,66,Large,22.4,2,0,1
Paneer,46856.85,779,Kerala,37,Small,60.15,7,1,0
Cheese,930.93,39,Madhya Pradesh,72,Large,23.87,74,1,0
Buttermilk,8448.96,104,West Bengal,82,Large,81.24,12,1,1
Milk,3793.44,84,Rajasthan,23,Large,45.16,28,0,1
Cheese,2300.4,36,Maharashtra,28,Large,63.9,39,1,1
Buttermilk,21508.14,263,Rajasthan,52,Large,81.78,14,1,0
Ice Cream,16840.71,459,Gujarat,46,Large,36.69,24,1,0
Ice Cream,20168.5,275,Chandigarh,13,Small,73.34,29,1,1
Buttermilk,12989.5,313,Uttar Pradesh,58,Medium,41.5,8,1,0
Milk,9886.57,131,Uttar Pradesh,58,Small,75.47,23,0,1
Buttermilk,585.63,9,Gujarat,73,Medium,65.07,13,1,1
Curd,6358.0,187,Chandigarh,44,Small,34.0,7,1,1
Curd,20696.88,332,West Bengal,90,Medium,62.34,5,1,0
Milk,1140.26,22,Karnataka,89,Small,51.83,27,0,1
Butter,8598.08,554,Chandigarh,92,Large,15.52,33,1,0
Buttermilk,7644.13,463,Madhya Pradesh,59,Medium,16.51,10,1,0
Curd,32674.66,358,Uttar Pradesh,61,Medium,91.27,7,1,1
Cheese,12013.53,137,Gujarat,55,Large,87.69,81,1,0
Paneer,13940.08,217,Rajasthan,96,Small,64.24,7,1,0
Lassi,1609.09,127,Madhya Pradesh,73,Medium,12.67,13,1,0
Cheese,37182.54,467,Tamil Nadu,48,Large,79.62,50,1,1
Paneer,7661.96,148,Tamil Nadu,22,Large,51.77,8,1,0
Cheese,7383.1,505,Chandigarh,70,Large,14.62,55,1,1
Milk,47136.0,480,Karnataka,39,Large,98.2,1,0,1
Milk,3097.0,190,Telangana,33,Medium,16.3,21,0,0
Milk,4322.88,48,Delhi,76,Small,90.06,1,0,0
Ice Cream,15719.4,180,Bihar,25,Medium,87.33,25,1,0
Butter,17850.0,350,Maharashtra,46,Small,51.0,32,1,0
Ice Cream,9087.2,148,West Bengal,89,Medium,61.4,23,1,1
Ghee,4892.42,62,Karnataka,96,Medium,78.91,92,0,0
Butter,8905.2,328,Telangana,84,Small,27.15,40,1,0
Milk,2388.56,73,Rajasthan,15,Small,32.72,1,0,1
Curd,6850.34,167,Delhi,95,Small,41.02,6,1,0
Ghee,6772.36,76,West Bengal,66,Large,89.11,68,0,1
Butter,32646.25,637,Bihar,89,Large,51.25,34,1,0
Ghee,1986.53,37,Rajasthan,21,Small,53.69,62,0,1
Cheese,7552.44,222,Delhi,20,Medium,34.02,59,1,0
Butter,3913.12,74,Karnataka,20,Medium,52.88,31,1,1
Yogurt,18678.66,286,Maharashtra,56,Large,65.31,25,1,1
Milk,23605.75,329,Haryana,52,Large,71.75,2,0,0
Ghee,7683.5,127,Delhi,35,Medium,60.5,86,0,0
Curd,2038.25,25,Uttar Pradesh,28,Large,81.53,6,1,0
Ghee,478.8,15,Kerala,32,Medium,31.92,63,0,1
Yogurt,19322.54,578,Bihar,13,Medium,33.43,23,1,0
Yogurt,3554.88,69,Delhi,28,Small,51.52,30,1,0
Buttermilk,6906.0,150,Haryana,66,Medium,46.04,8,1,0
Cheese,769.5,27,West Bengal,82,Medium,28.5,63,1,0
Milk,11233.6,280,Gujarat,74,Medium,40.12,22,0,1
Paneer,802.9,14,Maharashtra,15,Small,57.35,14,1,0
Buttermilk,24901.12,568,Jharkhand,70,Small,43.84,14,1,0
Paneer,21353.7,237,Karnataka,85,Large,90.1,7,1,0
Curd,14432.4,171,Chandigarh,10,Large,84.4,5,1,0
Lassi,1561.56,91,Bihar,80,Large,17.16,12,1,0
Yogurt,15641.36,476,West Bengal,60,Small,32.86,28,1,0
Yogurt,13790.79,351,Madhya Pradesh,50,Small,39.29,26,1,1
Paneer,6304.8,284,Uttar Pradesh,86,Small,22.2,11,1,0
Butter,16144.98,246,Bihar,57,Medium,65.63,36,1,1
Buttermilk,3087.35,35,Jharkhand,70,Large,88.21,9,1,0
Milk,22313.61,297,Rajasthan,64,Large,75.13,1,0,0
Paneer,20639.88,522,Rajasthan,72,Large,39.54,13,1,0
Buttermilk,16172.19,267,Karnataka,83,Small,60.57,12,1,0
Cheese,17133.24,402,Jharkhand,30,Large,42.62,52,1,0
Ghee,5928.33,219,West Bengal,71,Small,27.07,135,0,0
Yogurt,8587.0,277,Chandigarh,58,Large,31.0,29,1,1
Cheese,6238.05,195,Chandigarh,41,Large,31.99,68,1,0
Cheese,8744.4,280,Haryana,60,Medium,31.23,49,1,0
